"";"DAYS";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"20";"22";"24";"26";"28";"30";"32";"35";"38";"42";"45";"48";"total"
"1";"A1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
"2";"A2";0;0;0;0;0;1;1;2;3;3;3;3;3;4;6;6;7;8;9;10;10;11;11;11;11;11;14;20
"3";"A3";0;0;0;2;3;6;7;7;9;9;9;11;11;11;11;13;13;14;14;14;14;15;15;15;15;15;15;20
"4";"A4";0;0;2;5;7;9;9;10;10;11;11;11;11;11;12;12;12;13;13;13;13;13;13;13;13;14;14;19
"5";"A5";0;0;2;5;11;12;13;14;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;16;20
"6";"A6";0;0;0;4;11;14;14;14;14;14;15;15;15;15;16;16;16;16;16;16;16;16;16;16;16;16;16;20
"7";"A7";0;0;0;1;6;12;14;16;17;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;19
"8";"A8";0;0;0;0;1;6;11;13;14;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;19
"9";"A9";0;0;0;0;0;2;7;14;16;16;17;18;18;18;18;18;18;18;18;18;18;19;19;19;19;19;19;19
"10";"A10";0;0;0;0;0;0;2;7;12;14;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;18
"11";"A11";0;0;0;0;0;0;0;0;1;1;8;10;13;14;15;17;17;17;17;17;17;17;17;17;17;17;17;20
"12";"A12";0;0;0;0;0;0;0;0;0;0;0;0;2;10;14;18;18;18;18;18;18;18;18;18;18;18;18;19
"13";"A13";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7;12;14;15;15;15;15;15;15;16;16;16;19
"14";"B1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;5;8;8;9;9;9;18
"15";"B2";0;0;0;0;0;0;0;3;6;6;6;6;8;8;9;9;9;10;10;10;10;11;12;12;13;13;13;17
"16";"B3";0;0;2;3;3;5;7;7;9;10;11;13;13;13;13;14;14;14;14;14;14;14;14;16;16;16;16;20
"17";"B4";0;0;1;6;9;11;12;13;15;15;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;20
"18";"B5";0;0;5;12;13;15;15;15;16;16;16;16;17;17;17;17;18;18;18;18;18;18;18;18;18;18;18;19
"19";"B6";0;0;1;9;14;15;16;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;18;18;18;20
"20";"B7";0;0;0;4;13;13;15;16;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;19
"21";"B8";0;0;0;0;8;10;18;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;20
"22";"B9";0;0;0;0;0;0;2;9;12;15;16;16;16;16;16;16;16;16;16;16;16;17;17;17;17;17;17;20
"23";"B10";0;0;0;0;0;0;1;8;11;15;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;20
"24";"B11";0;0;0;0;0;0;0;1;3;14;15;15;15;16;16;17;18;18;18;18;18;18;18;18;18;18;18;20
"25";"B12";0;0;0;0;0;0;0;0;0;1;3;9;13;15;15;15;16;16;16;16;16;16;16;16;16;16;16;19
"26";"B13";0;0;0;0;0;0;0;0;0;0;0;0;0;6;9;13;15;15;16;16;16;16;16;16;16;16;16;20
"27";"C1";0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;2;3;3;6;6;6;6;6;7;17
"28";"C2";0;0;0;1;3;3;5;7;8;9;10;11;12;12;12;12;12;13;13;14;14;14;14;15;16;16;16;20
"29";"C3";0;0;3;5;8;8;9;9;11;11;12;13;13;13;14;14;14;14;14;14;14;14;14;14;14;16;16;20
"30";"C4";0;0;5;8;8;10;10;10;12;12;12;13;13;13;14;14;14;14;14;15;15;15;15;15;15;17;17;20
"31";"C5";0;1;5;9;12;15;15;16;16;16;17;17;17;17;17;17;17;17;18;18;18;18;18;18;18;18;18;20
"32";"C6";0;0;7;11;14;15;15;16;18;18;18;18;18;18;18;18;19;19;19;19;19;19;19;19;19;19;19;20
"33";"C7";0;0;2;7;12;13;15;15;16;17;17;17;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;20
"34";"C8";0;0;0;4;8;11;12;12;13;15;16;16;16;17;18;18;18;18;18;18;18;18;18;18;18;18;18;20
"35";"C9";0;0;0;0;5;10;14;14;15;15;16;16;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;20
"36";"C10";0;0;0;0;0;5;11;15;16;16;16;16;16;16;16;16;16;17;17;17;17;17;17;17;17;17;17;18
"37";"C11";0;0;0;0;0;0;2;5;7;10;11;11;11;11;12;12;13;13;13;13;13;13;13;14;14;14;14;19
"38";"C12";0;0;0;0;0;0;0;0;4;10;16;17;17;19;20;20;20;20;20;20;20;20;20;20;20;20;20;20
"39";"C13";0;0;0;0;0;0;0;0;0;1;5;14;16;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19
"40";"D1";0;0;0;0;0;0;0;1;2;2;2;2;2;2;4;4;5;6;6;6;6;6;6;6;6;6;6;18
"41";"D2";0;0;0;2;2;5;5;6;8;8;9;10;12;12;12;12;13;13;13;13;13;14;14;16;19;19;19;20
"42";"D3";0;2;7;11;12;12;13;14;14;15;15;15;15;15;15;17;17;17;17;17;17;17;17;17;17;17;17;17
"43";"D4";0;1;7;9;16;16;17;17;17;17;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
"44";"D5";0;1;5;10;13;14;16;16;17;17;17;18;18;18;18;18;18;18;18;18;18;18;18;18;18;19;19;20
"45";"D6";0;1;9;13;16;16;16;16;17;17;18;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;20
"46";"D7";0;1;6;11;13;17;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;20
"47";"D8";0;0;1;4;11;13;14;14;14;17;17;17;17;17;17;17;17;17;17;17;17;18;18;18;18;18;18;20
"48";"D9";0;0;0;4;11;13;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;20
"49";"D10";0;0;0;0;2;10;12;14;15;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;20
"50";"D11";0;0;0;0;0;1;8;11;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;18
"51";"D12";0;0;0;0;0;0;1;5;8;12;13;13;13;13;13;13;13;13;13;13;13;13;13;13;14;14;14;20
"52";"D13";0;0;0;0;0;0;0;4;10;17;17;18;18;18;18;18;18;18;18;18;18;18;19;19;19;19;19;20
"53";"E1";0;0;0;0;0;1;1;4;5;5;6;7;7;7;8;10;11;11;12;13;13;13;13;13;13;14;14;19
"54";"E2";0;0;3;4;6;8;8;9;11;11;12;12;12;12;12;12;13;14;16;16;16;16;16;16;16;17;17;18
"55";"E3";0;3;9;13;15;16;16;16;17;17;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;19;20
"56";"E4";1;4;8;9;10;12;12;12;12;13;14;14;14;14;14;14;15;15;15;15;15;15;15;15;17;17;17;21
"57";"E5";0;5;12;15;15;16;16;16;16;16;17;17;17;17;17;17;17;17;18;18;18;18;18;19;19;19;19;20
"58";"E6";0;7;12;14;14;17;17;17;17;17;17;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;20
"59";"E7";0;2;4;8;10;14;16;17;17;17;17;17;17;17;18;18;18;18;18;18;18;18;18;18;18;18;18;19
"60";"E8";0;0;5;10;11;12;12;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;19
"61";"E9";0;0;0;6;9;17;17;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;20
"62";"E10";0;0;0;1;7;15;17;17;17;17;17;17;17;18;18;18;18;18;18;18;18;18;18;18;18;18;18;20
"63";"E11";0;0;0;0;0;11;13;16;18;18;18;18;18;18;18;18;19;19;19;19;19;19;19;19;19;19;19;20
"64";"E12";0;0;0;0;0;6;11;16;16;16;16;16;16;16;16;17;17;17;18;18;18;18;18;18;18;18;18;20
"65";"E13";0;0;0;0;0;2;3;9;11;15;15;15;15;16;16;16;16;16;16;16;16;16;16;16;16;16;16;20
"66";"F1";0;0;0;0;0;2;2;3;5;5;6;6;6;6;6;7;8;9;9;9;9;9;10;10;10;10;10;18
"67";"F2";0;1;4;4;4;5;5;6;7;7;7;8;8;8;9;10;10;12;14;15;15;15;15;17;17;17;17;20
"68";"F3";0;5;11;12;12;13;13;13;14;14;15;15;16;16;16;17;17;17;17;17;17;17;17;17;17;18;18;20
"69";"F4";1;7;12;13;13;15;15;15;15;15;16;16;16;16;17;17;17;17;17;17;17;17;18;18;18;18;18;18
"70";"F5";3;4;11;14;14;16;16;16;16;17;18;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19
"71";"F6";0;4;9;11;11;11;12;13;13;13;13;13;13;13;14;14;14;14;14;14;14;14;14;14;14;14;14;18
"72";"F7";2;4;8;14;15;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;17;18;18;21
"73";"F8";0;1;5;11;11;12;12;14;14;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;18;18;18;20
"74";"F9";0;0;2;8;12;15;16;16;17;17;17;17;17;17;17;17;17;18;18;18;18;18;18;18;18;18;18;20
"75";"F10";0;0;0;7;10;14;14;14;15;15;15;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;19
"76";"F11";0;0;0;0;9;14;17;17;17;17;17;18;18;19;19;19;19;19;19;19;19;19;19;19;19;19;19;20
"77";"F12";0;0;0;1;7;11;13;14;14;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;17;21
"78";"F13";0;0;0;0;0;8;13;16;16;16;16;16;17;17;17;17;18;18;18;19;19;19;19;19;19;19;19;20
"79";"G1";0;0;0;0;0;1;1;4;5;5;6;6;6;7;7;9;9;9;9;9;9;11;11;11;13;13;14;19
"80";"G2";0;0;4;6;7;10;11;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;16;16;16;19
"81";"G3";2;4;8;9;11;11;12;12;12;13;14;14;15;15;15;15;15;16;16;16;16;16;16;16;16;16;16;19
"82";"G4";2;7;11;11;11;12;14;15;15;15;15;15;15;15;15;16;16;16;16;17;17;17;18;18;18;19;19;19
"83";"G5";2;5;7;8;9;9;9;10;10;10;10;10;10;11;11;11;11;12;13;13;13;13;13;13;14;14;14;20
"84";"G6";2;6;7;9;9;11;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;14;22
"85";"G7";4;9;13;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;19
"86";"G8";3;5;9;9;9;11;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;18
"87";"G9";0;1;8;12;12;13;13;13;13;14;15;15;15;15;15;15;16;16;16;16;16;16;16;16;16;16;16;20
"88";"G10";0;0;2;11;12;16;19;19;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20
"89";"G11";0;0;0;6;12;17;17;18;18;18;18;18;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;20
"90";"G12";0;0;1;3;10;15;17;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;19
"91";"G13";0;0;0;1;12;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;19
"92";"H1";0;0;0;0;1;2;5;5;6;6;7;7;7;8;8;8;8;8;8;9;9;9;9;9;9;10;10;19
"93";"H2";0;0;5;10;11;12;12;12;12;12;12;12;12;12;12;12;13;13;14;15;15;15;15;15;15;16;16;17
"94";"H3";5;9;13;13;15;15;15;15;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;17;17;17;17;19
"95";"H4";2;6;9;9;10;11;11;11;11;11;11;11;11;11;11;11;11;11;12;12;12;12;12;12;13;14;14;21
"96";"H5";1;6;8;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;19
"97";"H6";1;2;6;8;8;8;10;11;11;11;11;11;11;11;11;11;11;11;11;12;12;12;12;12;12;12;12;17
"98";"H7";3;7;10;11;12;12;12;12;12;12;12;13;13;13;13;13;13;13;13;13;13;13;14;16;16;16;16;22
"99";"H8";2;5;12;13;14;14;14;14;14;15;15;16;16;16;16;16;17;17;17;17;17;17;17;17;17;17;17;20
"100";"H9";1;3;8;12;15;16;16;18;18;18;18;18;18;19;19;19;19;19;19;19;19;19;20;20;20;20;20;21
"101";"H10";0;0;8;11;15;17;17;17;17;17;17;17;17;19;19;19;19;19;19;19;19;19;19;19;19;19;19;20
"102";"H11";0;0;6;8;9;14;14;15;15;15;15;16;16;16;16;16;16;16;17;17;17;17;17;17;17;17;17;20
"103";"H12";0;0;3;6;10;14;14;16;16;17;17;17;17;17;17;17;17;17;18;18;18;18;18;18;18;18;18;20
"104";"H13";0;0;0;9;11;13;16;17;17;17;17;17;17;18;18;18;18;18;18;18;18;18;18;18;18;18;18;19
"105";"I1";0;0;1;1;1;2;4;6;7;7;7;7;7;7;8;8;8;8;9;9;9;11;11;11;11;11;11;20
"106";"I2";0;2;3;4;6;6;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;20
"107";"I3";0;1;6;6;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;9;9;9;10;10;21
"108";"I4";2;4;7;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;11;21
"109";"I5";1;4;6;7;9;9;9;9;9;10;10;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;20
"110";"I6";1;3;4;4;5;7;7;7;7;7;8;8;8;8;8;10;10;10;10;10;10;10;10;10;12;12;13;21
"111";"I7";3;5;10;10;11;11;11;11;11;12;13;13;13;13;13;13;13;13;13;13;13;13;13;15;15;16;16;20
"112";"I8";4;8;13;13;14;17;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;19;19;19;19;19;19;19
"113";"I9";2;4;12;14;15;15;15;16;16;16;16;16;16;18;18;19;19;19;19;19;19;19;19;19;20;20;20;20
"114";"I10";2;3;11;12;14;17;17;17;17;18;18;18;18;18;18;19;19;19;19;19;19;19;19;19;19;19;19;20
"115";"I11";0;1;6;14;15;15;16;16;16;16;16;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;19
"116";"I12";0;0;4;13;16;17;18;19;19;19;19;19;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20
"117";"I13";0;0;0;6;10;13;13;14;15;16;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17
"118";"J1";0;0;0;0;0;1;1;1;1;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;20
"119";"J2";0;0;0;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;19
"120";"J3";0;2;3;3;3;3;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;7;8;8;9;9;9;20
"121";"J4";1;5;6;6;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;10;10;10;10;11;20
"122";"J5";4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;6;6;6;6;6;7;9;9;9;9;20
"123";"J6";0;1;3;4;6;7;7;8;9;9;9;9;9;9;9;9;9;9;9;9;9;11;11;13;13;14;14;21
"124";"J7";1;2;6;7;8;8;9;9;10;10;11;11;11;11;13;13;13;14;14;14;14;14;14;14;15;17;17;20
"125";"J8";2;3;7;10;11;12;12;13;13;14;14;14;14;15;15;15;15;15;15;15;15;15;15;15;15;15;16;18
"126";"J9";2;4;10;11;12;12;12;13;14;14;14;14;15;16;16;16;16;16;16;16;16;16;16;16;16;16;16;18
"127";"J10";0;4;8;11;12;14;14;14;15;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;17
"128";"J11";0;0;7;13;13;14;16;17;17;17;17;17;18;18;19;19;19;19;19;19;19;19;19;19;19;19;19;19
"129";"J12";0;0;1;5;6;8;10;11;13;14;15;16;16;16;16;16;16;17;17;17;17;18;18;18;18;18;18;19
"130";"J13";0;0;2;6;10;10;10;14;15;16;18;18;18;18;18;19;19;19;19;19;19;19;19;20;20;20;20;20
"131";"K1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;18
"132";"K2";0;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;19
"133";"K3";0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;3;3;3;4;4;19
"134";"K4";3;4;5;5;5;5;5;5;5;5;5;5;5;5;5;6;7;8;8;9;9;10;10;11;11;11;11;17
"135";"K5";0;1;1;1;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;6;6;7;7;20
"136";"K6";2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;6;6;6;6;6;8;9;12;15
"137";"K7";0;2;5;6;6;7;8;9;9;10;10;10;10;10;10;10;10;10;10;11;11;11;11;13;14;14;14;20
"138";"K8";0;2;7;10;10;10;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;13;14;15;17;17;17;20
"139";"K9";0;1;7;8;9;10;10;12;12;14;14;15;15;15;15;15;19;19;19;19;19;19;19;20;20;20;20;20
"140";"K10";0;1;4;8;13;16;16;16;16;16;17;17;17;17;17;17;17;17;18;18;18;18;18;18;18;18;18;20
"141";"K11";0;0;3;6;7;10;13;13;15;15;16;17;17;18;18;18;18;18;18;18;18;18;18;18;18;18;18;20
"142";"K12";0;0;0;5;9;9;13;14;16;16;17;17;18;18;18;18;18;18;19;19;19;19;19;19;19;19;19;20
"143";"K13";0;0;0;1;2;5;8;8;9;10;10;11;12;12;12;14;15;16;16;16;16;16;18;18;18;18;18;19
"144";"L1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
"145";"L2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18
"146";"L3";0;0;0;0;0;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;20
"147";"L4";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
"148";"L5";0;1;3;4;6;6;6;6;7;7;7;7;7;7;7;7;8;8;9;9;9;10;10;10;10;10;11;20
"149";"L6";1;2;6;6;7;7;7;8;8;8;8;8;8;8;8;8;8;8;8;9;9;9;10;10;12;14;16;20
"150";"L7";0;0;2;5;6;7;8;9;9;10;10;11;12;12;12;12;12;12;12;12;12;14;14;15;15;16;16;20
"151";"L8";0;0;2;2;4;4;4;4;4;4;5;5;5;5;5;7;7;7;7;11;11;12;13;14;14;14;14;19
"152";"L9";0;0;1;4;5;6;7;9;9;10;10;10;10;10;11;11;11;12;12;12;12;14;14;15;15;15;16;19
"153";"L10";0;0;0;4;5;8;8;10;11;14;14;15;15;15;16;17;17;17;17;18;18;18;18;18;19;19;19;20
"154";"L11";0;0;0;1;4;6;6;6;7;7;7;8;8;12;12;12;13;15;16;17;17;17;17;18;18;18;18;20
"155";"L12";0;0;0;0;1;3;3;5;8;8;11;12;12;12;12;13;15;15;16;16;16;16;16;16;16;17;17;20
"156";"L13";0;0;0;0;0;0;0;0;3;4;4;5;5;5;7;9;12;12;14;15;15;16;16;16;16;16;19;20
"157";"M1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
"158";"M2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
"159";"M3";0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;20
"160";"M4";0;0;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;3;4;4;4;4;4;4;5;5;20
"161";"M5";0;0;0;0;0;0;0;1;3;3;3;3;3;3;4;4;4;4;4;5;5;6;7;8;8;8;8;20
"162";"M6";0;0;0;0;2;3;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;19
"163";"M7";0;0;0;0;0;2;3;3;5;5;6;6;6;6;6;7;7;9;11;13;13;13;14;15;15;15;16;20
"164";"M8";0;0;0;0;0;0;2;2;3;3;3;3;3;3;3;3;3;3;3;5;5;5;7;8;8;8;13;20
"165";"M9";0;0;0;0;1;1;1;1;4;5;6;6;6;7;7;9;10;10;10;10;10;11;11;12;13;14;16;19
"166";"M10";0;0;0;0;0;1;2;2;3;3;4;6;6;7;7;10;11;11;11;11;11;13;14;14;17;17;17;20
"167";"M11";0;0;0;0;0;0;0;0;1;3;3;3;3;4;5;8;8;8;10;10;10;13;15;15;18;18;18;20
"168";"M12";0;0;0;0;0;0;0;0;0;1;1;1;1;2;5;6;7;7;7;7;7;7;7;7;7;7;9;20
"169";"M13";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;2;3;3;3;3;3;5;21
